K9825,Ia,40,EA,MII,"FF 9-12-38 19S Duxford 19-12-38 609S 13-7-40 FACA 14-7-40 1CRU 30-7-40 7OTU 25-9-40 FAAC 15-4-41 AST Cv Va M45 12-7-41 332S ""AH-Z"" 31-1-42 164S 3-5-42 FACA 4-6-42 602S 10-9-42 349S 7-7-43 61OTU 1-8-43 SF Northolt 13-8-43 52OTU 22-8-43 1695Flt 9-9-44 engine cut forcelanded Dalton FAAC 24-1-45 ros 1695Flt SOC 4-9-45"
K9826,Ia,41,EA,MII,19S 12-12-38 2FTS 30-12-39 616S damaged night landing 5-40 222S 2-7-40 shot down by Bf109 aircraft abandoned nr Barham Kent P/O Edridge injured 30-8-40
K9827,Ia,42,EA,MII,66S 18-12-38 616S 17-11-39 shot down nr Dungeness 26-5-40 damaged by Bf109 Sgt Copeland injured force-landed 26-8-40 Cunliffe-Owen 3-9-40
K9828,Ia,43,EA,MII,66S 18-12-38 616S 19-11-39 FA 22-5-40 72S 7-10-40 58OTU 9-3-41 57OTU 17-7-41 AST 21-3-43 222MU 8-8-43 Portugal 14-8-43
K9829,Ia,44,EA,MII,FF 20-12-38 66S 22-12-38 616S 15-11-39 damaged ops Sgt Ridley safe 1-8-40 7OTU 26-9-40 FA 31-10-40 37MU to 3200M 3SoTT 20-3-41
K9830,Ia,70,EA,MXII,FF 15-12-38 AMDP Super 21-1-39 AAEE 13-6-41 armour plate trials install AFDU 30-10-41 CRD RAF Hornchurch 14-3-42 trials periscopic gun sight and gun heat AFDU 27-5-42 52OTU 10-9-42 3501SU 16-2-43 58OTU 5-10-43 1TEU 17-6-44 recat E 14-8-44 SOC First MkI Cv II
K9831,Ia,45,EA,MII,FF 20-12-38 41S 30-12-38 wheels up landing Catterick 30-1-39 to 1362M 1 SoTT 22-3-39 SOC 17-8-39 FH19.30
K9832,Ia,46,EA,MII,FF 30-12-38 41S 64S 9-3-40 FTR Dunkirk 29-5-40 P/O George killed
K9833,Ia,47,EA,MII,FF 29-12-38 41S 3-1-39 602S 20-1-40 603S 5-7-40 602S 4-8-40 FAC2 28-8-40 58OTU 2-1-41 crashed force-landing Dunblane Perths CE 18-4-41 to 2574M 58OTU
K9834,HS,35,EA,MXII,FF 10-11-38 transfer to AMDP Super Contract B817241/38 for Cv High Speed Spitfire as N-17 PDU Heston 24-11-40 Cv PRIII Type C FACB 27-8-42 HAL 31-8-42 1PRU 4-9-42 CE SOC 21-8-46
K9835,Ia,48,EA,MII,41S 3-1-39 MMO 26-2-40 57OTU 17-6-40 engine failed crashed Llandrillo Denbighs 10-2-41 58OTU FACE 16-6-43 1TEU 26-2-44 SOC 22-8-44
K9836,Ia,49,EA,MII,FF 1-1-39 41S 5-1-39 19S 23-1-40 FTR into sea following combat with Bf109 and Bf110 1-6-40 FH298.00 Sgt J A Potter safe
K9837,Ia,50,EA,MII,41S 5-1-39 wheels up landing Catterick 8-6-39 SOC 17-8-39 to 1628M 2AAS RAF Weeton 17-8-39 rtp 31-5-44
K9838,Ia,51,EA,MII,FF 6-1-39 41S 11-1-39 struct fail in dive Eryholme Yorks 16-3-39 SOC FH21.25 pilot killed
K9839,Ia,52,EA,MII,41S 11-1-39 602S 23-1-40 RAE 6-40 AST 25-8-40 602S 29-8-40 damaged Do17 crashed nr Wrotham Kent P/O Aries safe 7-9-40 58OTU 23-3-41 SOC 7-1-42 to 63MU as 2868M 8-1-42
K9840,Ia,53,EA,MII,FF 11-1-39 41S 13-1-39 64S 2-5-40 FA 26-5-40 266S 19-8-40 72S 25-8-40 damaged ops 2-9-40 152S 23-9-40 57OTU 24-1-41 Hit trees and crashed Cefnmingfaron 5m S of Denbigh FACE dbf 2-3-41
K9841,Ia,54,EA,MII,"FF 11-1-39 66S 13-1-39 19S 29-4-39 AST 21-11-39 611S 6-6-40 609S 18-7-40 damaged ops 12-8-40 AST 12-8-40 609S 18-8-40 616S 25-8-40 72S ""QJ-R"" 2-9-40 damaged by return fire from Do17 u/c collapsed in forced landing Little Hutchings Farm Etchingham Sussex P/O Males safe 10-9-40 SOC AST cancel 26-9-40 SOC 8-4-41"
K9842,Ia,55,EA,MII,FF 12-1-39 41S 16-1-39 crashed in night landing Catterick 23-5-39 SOC 14-6-39 FH97.15
K9843,Ia,74,EA,MII,"FF 12-1-39 41S ""DL-H"" 4-2-39 landed on soft ground and tipped up Catterick 30-11-39 AST 10-12-39 54S ""DL-N"" SOC 18-7-42 to 3229M"
K9844,Ia,56,EA,MII,FF 12-1-39 41S 16-1-39 64S 11-3-40 lost control aircraft abandoned crashed nr Church Fenton 25-3-40 SOC 5-4-40
K9845,Ia,57,EA,MII,FF 13-1-39 41S 17-1-39 wheels up landing Catterick 3-4-39 SOC 15-5-39 to 1479M at Locking 15-6-39 FH42-25
K9846,Ia,58,EA,MII,FF 13-1-39 41S 22-1-39 616S 17-9-39 hit telephone wires on night takeoff Catterick dbf 6-11-39 F/O Overall killed SOC 21-11-39
K9847,Ia,59,EA,MII,FF 16-1-39 41S 22-1-39 64S 11-3-40 AST 4-5-40 72S 2-9-40 engine failed force-landed Halstead 8-10-40 AST 12-10-40 57OTU 21-2-41 RAE 8-4-41 instructional airframe 23-6-43
K9848,Ia,61,EA,MII,FF 19-1-39 41S 26-1-39 engine failed crashed force-landing nr Catterick 20-4-39 SOC 17-5-39 FH23.35
K9849,Ia,62,EA,MII,FF 19-1-39 41S 26-1-39 crashed on takeoff Catterick 14-9-39 SOC FH132-10
K9850,Ia,63,EA,MII,FF 20-1-39 41S 26-1-39 FAC2 6-2-40 266S 17-8-40 damaged by strafing Bf109s Manston 18-8-40 58OTU 29-12-40 53OTU 17-7-41 Collided with K9862 and crashed Flemington Court Farm Glam FACE 28-3-43
K9851,Ia,64,EA,MII,FF 20-1-39 19S 27-1-39 RAE 3-39 AST 30-4-40 7OTU 13-7-40 19S 3-9-40 7OTU 10-9-40 stalled on approach and u/c torn off Speke FAC2 10-12-40 10SoTT 1-8-41 CE 23-9-44 FH401.25
K9852,Ia,65,EA,MII,FF 24-1-39 AMDP RAE 31-1-39 radio trials and pilot training Super 25-4-39 R/T instn and trials. ETPS Farnborough 26-6-40 VHF aerial trials for R3002 10-40 snow guard and eng trials 610S 15-10-40 fought numerous airfield defensive actions during RAE trials AAEE undershot landing and it dispersal pen Usworth 25-10-40 AST 31-10-40 53OTU 6-5-41 FA crashed nr Tangmere 7-6-41 SOC
K9853,Ia,66,EA,MII,FF 26-1-39 19S 31-1-39 RAE 2-39 hand trials Hit by K9799 while taxying out for scramble Duxford 9-7-40 GAL 15-7-40 SOC 15-1-41
K9854,Ia,71,EA,MII,FF 26-1-39 alloc 66S transfer RAE 3-39 trials 19S 4-5-39 air collision with K9821 force-landed Newmarket Heath 6-10-39 SOC 14-10-39 rtp
K9855,Ia,68,EA,MII,FF 26-1-39 41S 4-2-39 overshot landing and hit hedge Catterick to 1646M 1AAS Manby 4-11-39 SOC 6-11-39
K9856,Ia,69,EA,MII,FF 28-1-39 41S 15-2-39 fire in flight crash-landed Catterick 27-4-39 SOC 9-5-39 FH20.50
K9857,Ia,73,EA,MII,FF 1-2-39 19S 11-5-39 wheels up landing Duxford 20-5-39 7OTU 7-7-40 FAC2 5-9-40 57OTU 19-12-40 FAAC 16-4-41 1CRU 1-8-41 8OTU 24-5-42 FAAC 11-6-42 8OTU 25-7-42 engine failed fire in flight aircraft abandoned into sea pilot rescued by ASR off Fraserburgh 11-11-42
K9858,Ia,75,EA,MII,FF 4-2-39 19S 24-4-39 crashed on takeoff Horsham St.Faith 31-3-40 SOC 9-4-40
K9859,Ia,76,EA,MII,FF 3-2-39 19S 24-4-39 struck fence on approach Duxford 9-5-39 to 1825M
K9860,Ia,78,EA,MII,FF 6-2-39 74S 14-2-39 Tipped up after landing on soft ground Southend 9-11-39 SOC 18-1-40 FH74.20
K9861,Ia,79,EA,MII,FF 7-2-39 74S 13-2-39 stalled dived into ground Grays Thurruck Essex Sgt Gower killed 30-8-39
K9862,Ia,80,EA,MII,FF 9-2-39 74S 13-2-39 1CRU 20-5-40 64S 19-8-40 57OTU 3-2-41 AST 5-3-41 57OTU 24-7-41 53OTU 22-8-42 air collision with K9850 crashed Pontravel Farm Glam 28-3-43
K9863,Ia,81,EA,MII,FF 9-2-39 74S 13-2-39 damaged ops P/O Freeborn safe 10-7-40 57OTU 8-5-41 air collision with X4164 crashed nr Sealand 26-1-42
K9864,Ia,82,EA,MII,FF 10-2-39 74S 15-2-39 266S 29-12-39 shot down force-landed nr Faversham Kent P/O Soden injured 16-8-40 57OTU air collision with R6769 crashed River Dee nr Flint Scotland 8-5-42
K9865,Ia,83,EA,MII,FF 11-2-39 74S 16-2-39 collided with K9951 on ground Rochford 23-4-40 AST 13-5-40 7OTU 21-7-40 67OTU 31-12-41 landed with u/c unlocked Hawarden FACA 7-5-42 SOC 7-5-42
K9866,Ia,84,EA,MII,FF 13-2-39 74S 14-2-39 u/c collapsed in heavy landing Hornchurch 3-3-39 to 1428M 6SoTT 14-4-39 53OTU SOC 26-8-44 FH136.30
K9867,Ia,85,EA,MII,FF 14-2-39 74S 18-2-39 AMDP 11-1-40 Missing from patrol over Calais 23-5-40
K9868,Ia,86,EA,MII,FF 15-2-39 74S 15-2-39 crash landing Cherbourg France 21-11-39 21AD 5-12-39 SOC 9-2-40
K9869,Ia,87,EA,MII,FF 15-2-39 74S 20-2-39 AST 14-5-40 engine failed on takeoff del flt to 6MU 13-7-40 into sea off Hamble C3
K9870,Ia,88,EA,MII,FF 16-2-39 74S 17-2-39 damaged ops 8-8-40 72S 7-10-40 shot down by Bf109 nr Deal aircraft abandoned P/O Pool injured 11-10-40
K9871,Ia,89,EA,MII,"FF 16-2-39 74S ""JH-O"" later ""ZP-O"" 21-2-39 damaged ops force-landed P/O Szezesny safe 13-8-40 57OTU 19-12-40 MMO 30-4-41 Cv Va M45 3-6-41 53OTU 15-7-41 AST 24-8-41 303S 5-12-41 81S 12-2-42 Shorts 18-10-42 51OTU 27-5-43 53OTU crashed on takeoff Ouston CE 21-12-43 SOC 1-1-44 recat 6-1-44 39MU 1-5-44 SOC 15-10-45"
K9872,Ia,90,EA,MII,FF 19-2-39 74S 23-2-39 wheels up landing Hornchurch 24-3-39 SOC to 1450M 24-4-39 RAF St.Athan FH7.55
K9873,Ia,91,EA,MII,FF 21-2-39 74S 23-2-39 AST 12-11-39 7OTU 22-9-40 FAAC 5-10-40 58OTU 4-2-41 53OTU 3-1-42 heavy landing Llandow overturned CE 20-4-42 76MU 1-10-42 Tarantia 8-11-42 Port Sudan 29-1-43 Middle East 28-2-43 Caught fire in air crashed 10mls E Bilbeis Egypt C3 13-1-44
K9874,Ia,92,EA,MII,FF 21-2-39 74S 27-2-39 AST 7-5-40 7OTU 17-8-40 19S 3-9-40 7OTU 10-9-40 FAC2 4-10-40 GAL 29-10-40 instructional airframe at 57OTU 21-2-41 SOC 23-6-43
K9875,Ia,93,EA,MII,FF 22-2-39 74S 27-2-39 FTR Dunkirk 27-5-40
K9876,Ia,94,EA,MII,FF 23-2-39 74S 1-3-39 AST 18-10-39 5OTU 4-6-40 7OTU 13-8-40 FAC2 14-8-40 610S 15-10-40 602S 14-12-40 57OTU 4-2-41 GAL 12-5-41 PPSM 27-4-42 new eng Cv VI AAEE 7-42 diving trials 45SLG 24-8-42 76MU 3-10-42 Tarantia 8-11-42 Port Sudan 29-1-43 Middle East 31-3-43 to 4384M
K9877,Ia,95,EA,MII,FF 24-2-39 54S 1-3-39 152S 18-2-40 overshot landing overturned Acklington 16-3-40 SOC 11-4-40
K9878,Ia,96,EA,MII,FF 24-2-39 74S 1-3-39 222S 4-9-40 AST 26-11-40 CGS 4-2-41 58OTU 14-3-41 FAAC 23-3-41 61OTU 15-5-43 RNAS 25-5-43 759S Yeovilton to Gosport 25-8-43 (for RNARY Fleetlands?) Tested 759S Yeovilton 7-3-44 45MU 3-10-44 SOC 30-12-44
K9879,Ia,97,EA,MII,FF 1-3-39 74S 4-3-39 MMO 11-9-39 PRU Benson 11-7-40 crashed Lt/Cmdr Kingdon killed after oxygen starvation dived into ground nr Crewkerne Somerset CE 1-8-40 SOC 1-8-40
K9880,Ia,98,EA,MII,FF 27-2-39 54S 2-3-39 152S 2-1-40 shot down by Bf109 off Swanage P/O Posener killed 20-7-40
K9881,Ia,99,EA,MII,FF 28-2-39 54S 2-3-39 wheels up landing at Base 5-39 152S 4-1-40 damaged ops 16-2-40 602S 24-3-40 damaged by return fire from Ju 87s nr Tangmere 16-8-40 AST 4-9-40 4SoTT 15-3-41 53OTU took off in coarse pitch struck P7840 Llandow CE 1-4-42 SOC 18-7-42 to 3215M RNDA 25-5 ?
K9882,Ia,100,EA,MII,FF 2-3-39 54S 17-3-39 152S 2-1-40 shot down by Bf109 off IoW Sgt Christie killed 26-9-40
K9883,Ia,144,EA,MII,"FF 2-3-39 54S ""DL-T"" 24-4-39 152S 3-1-40 CB ops 20-7-40 1CRU 58OTU 28-3-41 FAAC 4-6-43 1TEU 1-3-44 RN Milmeece as GI 4727M for WRNS Air Mechanic training"
K9884,Ia,101,EA,MII,FF 3-3-39 54S 10-3-39 152S 3-1-40 overshot landing hit dispersal pen Acklington 19-6-40 SOC 24-6-40
K9885,Ia,102,EA,MII,FF 8-3-39 54S 13-3-39 152S 16-1-40 Engine cut hit hedge in forced landing in bad visibility nr Nottingham 16-1-40 SOC 1-5-40
K9886,Ia,103,EA,MII,FF 5-3-39 54S 8-3-39 crashed circling beacon at night nr Basildon 8-11-39 SOC 14-12-39
K9887,Ia,104,EA,MII,FF 7-3-39 54S 10-3-39 AST 9-11-39 bboc 9MU 26-3-40 5OTU 4-6-40 Westland 7-7-40 58OTU 12-3-41 Scottish Aviation 14-6-41 52OTU 1-11-41 57OTU 25-8-42 FACE 24-2-43 Scottish Aviation 10-11-43 53OTU 9-5-44 TEU 14-6-44 SOC 21-6-47 rtp
K9888,Ia,60,EA,MII,FF 19-1-39 66S 30-1-39 41S 4-5-39 hit high ground Appleby Cumberland 18-7-39 Sgt Mitchell killed
K9889,Ia,77,EA,MII,FF 4-2-39 6MU 9-2-39 5OTU 28-5-40 7OTU 10-9-40 Scottish Aviation 27-9-40 AST 23-5-41 57OTU 5-8-41 61OTU 27-11-43
K9890,Ia,67,EA,MII,FF 28-1-39 41S 4-2-39 249S 4-6-40 602S 13-7-40 41S 21-7-40 603S 20-9-40 C2 23-9-40 AST out of fuel landed nr Hooton Park in River Mersey 1-2-41
K9891,Ia,72,EA,MII,FF 31-1-39 6MU 7-2-39 66S 24-4-39 ASTH 20-11-39 5OTU 4-6-40 FA 19-6-40 WA 58OTU 2-2-41 Scottish Aviation 11-3-41 53OTU 9-12-41 Took off in coarse pitch and hit P7840 on takeoff Llandow CE 1-4-42 SOC 13-4-42
K9892,Ia,105,EA,MII,FF 8-3-39 54S 13-3-39 602S 29-11-39 landing accident Drem P/O Moody safe 2-8-40 610S 15-10-40 602S 14-12-40 57OTU 4-2-41 descended through cloud with X4167 hit hill Ruabon Denbighs dbf CE 3-7-41 SOC 15-7-41 pilot killed
K9893,Ia,106,EA,MII,FF 7-3-39 54S 13-3-39 152S 16-1-40 engine failed in snowstorm crashed in force-landing Broughton Lincs CE 16-1-40 SOC 3-2-40
K9894,Ia,107,EA,MII,FF 9-3-39 54S 13-3-39 152S 2-1-40 GAL 58OTU 1-1-41 u/c collapse landing Sealand 12-5-41 ros 57OTU CGS 9-7-41 DeH 18-8-42 57OTU 13-6-43 RAF Medical Rehabilitation Loughborough 26-4-44 to 4868M SOC 29-8-46
K9895,Ia,108,EA,MII,FF 10-3-39 CFS 15-3-39 hand trials AST 18-12-39 64S 14-8-40 57OTU 3-2-41 61OTU 57OTU hit hill in cloud Ruabon nr Wrexham 3-7-41 SOC 6-8-41
K9896,Ia,169,EA,MII,"FF 10-3-39 54S ""DL-K"" 15-3-39 RAE 3-39 152S 3-1-40 undershot landing Catterick 6-6-40 CE SOC 16-6-40"
K9897,Ia,110,EA,MII,FF 13-3-39 54S 15-3-39 undershot landing struck hut Hornchurch 4-7-39 SOC 15-8-39 rtp
K9898,Ia,109,EA,MII,FF 14-3-39 54S 17-3-39 152S 4-1-40 Engine cut ditched in North Sea 29-2-40 SOC 2-5-40 S/Ldr Shute killed
K9899,Ia,111,EA,MII,FF 13-3-39 54S 17-3-39 152S 15-2-40 602S 24-3-40 damaged ops 23-7-40 57OTU 7-11-40 AST 24-5-41 53OTU 24-8-41 overshot landing Llandow CB 15-10-41 SOC 18-10-41
